name	desc	leng
TIGR00100	hypA: hydrogenase nickel insertion protein HypA	116
TIGR00101	ureG: urease accessory protein UreG	199
TIGR00103	DNA_YbaB_EbfC: DNA-binding protein, YbaB/EbfC family	104
TIGR00104	YaeB_AF0241: putative methyltransferase, YaeB/AF_0241 family	143
TIGR00105	L31: ribosomal protein L31	68
TIGR00106	TIGR00106: uncharacterized protein, MTH1187 family	97
TIGR00107	deoD: purine nucleoside phosphorylase	232
TIGR00109	hemH: ferrochelatase	322
TIGR00110	ilvD: dihydroxy-acid dehydratase	543
TIGR00111	pelota: mRNA surveillance protein pelota	351
TIGR00112	proC: pyrroline-5-carboxylate reductase	263
TIGR00113	queA: S-adenosylmethionine:tRNA ribosyltransferase-isomerase	345
TIGR00114	lumazine-synth: 6,7-dimethyl-8-ribityllumazine synthase	138
TIGR00115	tig: trigger factor	410
TIGR00116	tsf: translation elongation factor Ts	293
TIGR00117	acnB: aconitate hydratase 2	844
TIGR00118	acolac_lg: acetolactate synthase, large subunit, biosynthetic type	557
TIGR00119	acolac_sm: acetolactate synthase, small subunit	158
TIGR00120	ArgJ: glutamate N-acetyltransferase/amino-acid acetyltransferase	405
TIGR00121	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase	235
TIGR00122	birA_repr_reg: biotin operon repressor	69
TIGR00123	cbiM: cobalamin biosynthesis protein CbiM	214
TIGR00124	cit_ly_ligase: [citrate (pro-3S)-lyase] ligase	335
TIGR00125	cyt_tran_rel: cytidyltransferase-like domain	65
TIGR00126	deoC: deoxyribose-phosphate aldolase	211
TIGR00127	nadp_idh_euk: isocitrate dehydrogenase, NADP-dependent	409
TIGR00128	fabD: malonyl CoA-acyl carrier protein transacylase	290
TIGR00129	fdhD_narQ: formate dehydrogenase family accessory protein FdhD	237
TIGR00130	frhD: coenzyme F420-reducing hydrogenase, FrhD protein	153
TIGR00131	gal_kin: galactokinase	388
TIGR00132	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	466
TIGR00133	gatB: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	481
TIGR00134	gatE_arch: glutamyl-tRNA(Gln) amidotransferase, subunit E	622
TIGR00135	gatC: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	93
TIGR00136	gidA: tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	616
TIGR00137	gid_trmFO: tRNA:m(5)U-54 methyltransferase	433
TIGR00138	gidB: 16S rRNA (guanine(527)-N(7))-methyltransferase GidB	183
TIGR00139	h_aconitase: homoaconitase	709
TIGR00140	hupD: hydrogenase expression/formation protein	151
TIGR00142	hycI: hydrogenase maturation peptidase HycI	146
TIGR00143	hypF: carbamoyltransferase HypF	741
TIGR00144	beta_RFAP_syn: beta-ribofuranosylaminobenzene 5'-phosphate synthase family	325
TIGR00145	TIGR00145: FTR1 family protein	282
TIGR00147	TIGR00147: lipid kinase, YegS/Rv2252/BmrU family	296
TIGR00148	TIGR00148: UbiD family decarboxylase	438
TIGR00149	TIGR00149_YbjQ: secondary thiamine-phosphate synthase enzyme	132
TIGR00150	T6A_YjeE: tRNA threonylcarbamoyl adenosine modification protein YjeE	135
TIGR00151	ispF: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	155
TIGR00152	TIGR00152: dephospho-CoA kinase	188
TIGR00153	TIGR00153: TIGR00153 family protein	217
TIGR00154	ispE: 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	294
TIGR00155	pqiA_fam: integral membrane protein, PqiA family	403
TIGR00156	TIGR00156: TIGR00156 family protein	128
TIGR00157	TIGR00157: ribosome small subunit-dependent GTPase A	247
TIGR00158	L9: ribosomal protein L9	148
TIGR00159	TIGR00159: TIGR00159 family protein	254
TIGR00160	MGSA: methylglyoxal synthase	143
TIGR00161	TIGR00161: TIGR00161 family protein	239
TIGR00162	TIGR00162: TIGR00162 family protein	260
TIGR00163	PS_decarb: phosphatidylserine decarboxylase	243
TIGR00164	PS_decarb_rel: phosphatidylserine decarboxylase homolog	215
TIGR00165	S18: ribosomal protein S18	70
TIGR00166	S6: ribosomal protein S6	95
TIGR00167	cbbA: ketose-bisphosphate aldolase	290
TIGR00168	infC: translation initiation factor IF-3	165
TIGR00169	leuB: 3-isopropylmalate dehydrogenase	349
TIGR00170	leuC: 3-isopropylmalate dehydratase, large subunit	466
TIGR00171	leuD: 3-isopropylmalate dehydratase, small subunit	188
TIGR00172	maf: septum formation protein Maf	185
TIGR00173	menD: 2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	435
TIGR00174	miaA: tRNA dimethylallyltransferase	288
TIGR00175	mito_nad_idh: isocitrate dehydrogenase, NAD-dependent	334
TIGR00176	mobB: molybdopterin-guanine dinucleotide biosynthesis protein B	155
TIGR00177	molyb_syn: molybdenum cofactor synthesis domain	148
TIGR00178	monomer_idh: isocitrate dehydrogenase, NADP-dependent	744
TIGR00179	murB: UDP-N-acetylenolpyruvoylglucosamine reductase	290
TIGR00180	parB_part: ParB/RepB/Spo0J family partition protein	186
TIGR00181	pepF: oligoendopeptidase F	591
TIGR00182	plsX: fatty acid/phospholipid synthesis protein PlsX	337
TIGR00183	prok_nadp_idh: isocitrate dehydrogenase, NADP-dependent	417
TIGR00184	purA: adenylosuccinate synthase	425
TIGR00185	tRNA_yibK_trmL: tRNA (cytidine(34)-2'-O)-methyltransferase	154
TIGR00186	rRNA_methyl_3: RNA methyltransferase, TrmH family, group 3	240
TIGR00187	ribE: riboflavin synthase, alpha subunit	207
TIGR00188	rnpA: ribonuclease P protein component	111
TIGR00189	tesB: acyl-CoA thioesterase II	282
TIGR00190	thiC: thiamine biosynthesis protein ThiC	423
TIGR00191	thrB: homoserine kinase	304
TIGR00192	urease_beta: urease, beta subunit	103
TIGR00193	urease_gam: urease, gamma subunit	102
TIGR00194	uvrC: excinuclease ABC subunit C	574
TIGR00195	exoDNase_III: exodeoxyribonuclease III	254
TIGR00196	yjeF_cterm: YjeF family C-terminal domain	277
TIGR00197	yjeF_nterm: YjeF family N-terminal domain	206
TIGR00198	cat_per_HPI: catalase/peroxidase HPI	716
TIGR00199	cinA_cterm: competence/damage-inducible protein CinA C-terminal domain	149
TIGR00200	cinA_nterm: competence/damage-inducible protein CinA N-terminal domain	414
TIGR00201	comF: comF family protein	190
TIGR00202	csrA: carbon storage regulator	69
TIGR00203	cydB: cytochrome d ubiquinol oxidase, subunit II	378
TIGR00204	dxs: 1-deoxy-D-xylulose-5-phosphate synthase	616
TIGR00205	fliE: flagellar hook-basal body complex protein FliE	109
TIGR00206	fliF: flagellar M-ring protein FliF	555
TIGR00207	fliG: flagellar motor switch protein FliG	338
TIGR00208	fliS: flagellar protein FliS	124
TIGR00209	galT_1: galactose-1-phosphate uridylyltransferase	349
TIGR00210	gltS: sodium/glutamate symporter	398
TIGR00211	glyS: glycine--tRNA ligase, beta subunit	691
TIGR00212	hemC: porphobilinogen deaminase	293
TIGR00213	GmhB_yaeD: D,D-heptose 1,7-bisphosphate phosphatase	176
TIGR00214	lipB: lipoyl(octanoyl) transferase	187
TIGR00215	lpxB: lipid-A-disaccharide synthase	382
TIGR00216	ispH_lytB: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	282
TIGR00217	malQ: 4-alpha-glucanotransferase	587
TIGR00218	manA: mannose-6-phosphate isomerase, class I	359
TIGR00219	mreC: rod shape-determining protein MreC	283
TIGR00220	mscL: large conductance mechanosensitive channel protein	127
TIGR00221	nagA: N-acetylglucosamine-6-phosphate deacetylase	380
TIGR00222	panB: 3-methyl-2-oxobutanoate hydroxymethyltransferase	264
TIGR00223	panD: aspartate 1-decarboxylase	126
TIGR00224	pckA: phosphoenolpyruvate carboxykinase (ATP)	532
TIGR00225	prc: C-terminal processing peptidase	335
TIGR00227	ribD_Cterm: riboflavin-specific deaminase C-terminal domain	216
TIGR00228	ruvC: crossover junction endodeoxyribonuclease RuvC	156
TIGR00229	sensory_box: PAS domain S-box protein	126
TIGR00230	sfsA: sugar fermentation stimulation protein	234
TIGR00231	small_GTP: small GTP-binding protein domain	164
TIGR00232	tktlase_bact: transketolase	654
TIGR00233	trpS: tryptophan--tRNA ligase	328
TIGR00234	tyrS: tyrosine--tRNA ligase	406
TIGR00235	udk: uridine kinase	207
TIGR00236	wecB: UDP-N-acetylglucosamine 2-epimerase	366
TIGR00237	xseA: exodeoxyribonuclease VII, large subunit	432
TIGR00238	TIGR00238: KamA family protein	331
TIGR00239	2oxo_dh_E1: oxoglutarate dehydrogenase (succinyl-transferring), E1 component	931
TIGR00240	ATCase_reg: aspartate carbamoyltransferase, regulatory subunit	150
TIGR00241	CoA_E_activ: putative CoA-substrate-specific enzyme activase	248
TIGR00242	TIGR00242: protein MraZ	144
TIGR00243	Dxr: 1-deoxy-D-xylulose 5-phosphate reductoisomerase	389
TIGR00244	TIGR00244: transcriptional regulator NrdR	147
TIGR00245	TIGR00245: TIGR00245 family protein	248
TIGR00246	tRNA_RlmH_YbeA: rRNA large subunit m3Psi methyltransferase RlmH	155
TIGR00247	TIGR00247: conserved hypothetical protein, YceG family	347
TIGR00249	sixA: phosphohistidine phosphatase SixA	154
TIGR00250	RNAse_H_YqgF: RNAse H domain protein, YqgF family	130
TIGR00251	TIGR00251: TIGR00251 family protein	87
TIGR00252	TIGR00252: TIGR00252 family protein	123
TIGR00253	RNA_bind_YhbY: putative RNA-binding protein, YhbY family	96
TIGR00254	GGDEF: diguanylate cyclase (GGDEF) domain	168
TIGR00255	TIGR00255: TIGR00255 family protein	291
TIGR00256	TIGR00256: D-tyrosyl-tRNA(Tyr) deacylase	146
TIGR00257	IMPACT_YIGZ: uncharacterized protein, YigZ family	205
TIGR00258	TIGR00258: inosine/xanthosine triphosphatase	168
TIGR00259	thylakoid_BtpA: membrane complex biogenesis protein, BtpA family	257
TIGR00260	thrC: threonine synthase	340
TIGR00261	traB: TraB family protein	380
TIGR00262	trpA: tryptophan synthase, alpha subunit	256
TIGR00263	trpB: tryptophan synthase, beta subunit	385
TIGR00264	TIGR00264: alpha-NAC homolog	116
TIGR00266	TIGR00266: TIGR00266 family protein	222
TIGR00267	TIGR00267: TIGR00267 family protein	171
TIGR00268	TIGR00268: TIGR00268 family protein	253
TIGR00269	TIGR00269: TIGR00269 family protein	104
TIGR00270	TIGR00270: TIGR00270 family protein	154
TIGR00271	TIGR00271: uncharacterized hydrophobic domain	175
TIGR00272	DPH2: diphthamide biosynthesis protein 2	497
TIGR00273	TIGR00273: iron-sulfur cluster-binding protein	432
TIGR00274	TIGR00274: N-acetylmuramic acid 6-phosphate etherase	291
TIGR00275	TIGR00275: flavoprotein, HI0933 family	401
TIGR00276	TIGR00276: epoxyqueuosine reductase	337
TIGR00277	HDIG: uncharacterized domain HDIG	84
TIGR00278	TIGR00278: putative membrane protein insertion efficiency factor	75
TIGR00279	L10e: ribosomal protein L10.e	172
TIGR00280	L37a: ribosomal protein L37a	92
TIGR00281	TIGR00281: segregation and condensation protein B	186
TIGR00282	TIGR00282: metallophosphoesterase, MG_246/BB_0505 family	266
TIGR00283	arch_pth2: peptidyl-tRNA hydrolase	115
TIGR00284	TIGR00284: dihydropteroate synthase-related protein	497
TIGR00285	TIGR00285: DNA-binding protein Alba	87
TIGR00286	TIGR00286: arginine decarboxylase, pyruvoyl-dependent	152
TIGR00287	cas1: CRISPR-associated endonuclease Cas1	327
TIGR00288	TIGR00288: TIGR00288 family protein	160
TIGR00289	TIGR00289: TIGR00289 family protein	222
TIGR00290	MJ0570_dom: MJ0570-related uncharacterized domain	223
TIGR00291	RNA_SBDS: rRNA metabolism protein, SBDS family	231
TIGR00292	TIGR00292: thiazole biosynthesis enzyme	254
TIGR00293	TIGR00293: prefoldin, alpha subunit	129
TIGR00294	TIGR00294: GTP cyclohydrolase	308
TIGR00295	TIGR00295: TIGR00295 family protein	164
TIGR00296	TIGR00296: uncharacterized protein, PH0010 family	200
TIGR00297	TIGR00297: TIGR00297 family protein	237
TIGR00298	TIGR00298: 2-phosphosulfolactate phosphatase	216
TIGR00299	TIGR00299: TIGR00299 family protein	382
TIGR00300	TIGR00300: TIGR00300 family protein	407
TIGR00302	TIGR00302: phosphoribosylformylglycinamidine synthase, purS protein	80
TIGR00303	TIGR00303: TIGR00303 family protein	334
TIGR00304	TIGR00304: TIGR00304 family protein	84
TIGR00305	TIGR00305: putative toxin-antitoxin system toxin component, PIN family	115
TIGR00306	apgM: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase, archaeal form	396
TIGR00307	S8e: ribosomal protein S8.e	127
TIGR00308	TRM1: N2,N2-dimethylguanosine tRNA methyltransferase	375
TIGR00309	V_ATPase_subD: V-type ATPase, D subunit	209
TIGR00310	ZPR1_znf: ZPR1 zinc finger domain	192
TIGR00311	aIF-2beta: putative translation initiation factor aIF-2, beta subunit	133
TIGR00312	cbiD: cobalamin biosynthesis protein CbiD	347
TIGR00313	cobQ: cobyric acid synthase CobQ	477
TIGR00314	cdhA: CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	784
TIGR00315	cdhB: CO dehydrogenase/acetyl-CoA synthase complex, epsilon subunit	162
TIGR00316	cdhC: CO dehydrogenase/CO-methylating acetyl-CoA synthase complex, beta subunit	460
TIGR00317	cobS: cobalamin 5'-phosphate synthase	241
TIGR00318	cyaB: putative adenylyl cyclase CyaB	174
TIGR00319	desulf_FeS4: desulfoferrodoxin FeS4 iron-binding domain	34
TIGR00320	dfx_rbo: desulfoferrodoxin	125
TIGR00321	dhys: deoxyhypusine synthase	301
TIGR00322	diphth2_R: diphthamide biosynthesis enzyme Dph1/Dph2 domain	320
TIGR00323	eIF-6: putative translation initiation factor eIF-6	215
TIGR00324	endA: tRNA-intron endonuclease	177
TIGR00325	lpxC: UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	297
TIGR00326	eubact_ribD: riboflavin biosynthesis protein RibD	343
TIGR00327	secE_euk_arch: protein translocase SEC61 complex gamma subunit, archaeal and eukaryotic	61
TIGR00328	flhB: flagellar biosynthetic protein FlhB	348
TIGR00329	gcp_kae1: metallohydrolase, glycoprotease/Kae1 family	305
TIGR00330	glpX: fructose-1,6-bisphosphatase, class II	334
TIGR00331	hrcA: heat-inducible transcription repressor HrcA	338
TIGR00332	neela_ferrous: desulfoferrodoxin ferrous iron-binding domain	107
TIGR00333	nrdI: nrdI protein	127
TIGR00334	5S_RNA_mat_M5: ribonuclease M5	174
TIGR00335	primase_sml: putative DNA primase, eukaryotic-type, small subunit	324
TIGR00336	pyrE: orotate phosphoribosyltransferase	173
TIGR00337	PyrG: CTP synthase	526
TIGR00338	serB: phosphoserine phosphatase SerB	219
TIGR00339	sopT: sulfate adenylyltransferase	383
TIGR00340	zpr1_rel: zinc finger protein ZPR1 homolog	163
TIGR00341	TIGR00341: TIGR00341 family protein	325
TIGR00342	TIGR00342: tRNA sulfurtransferase ThiI	373
TIGR00343	TIGR00343: pyridoxal 5'-phosphate synthase, synthase subunit Pdx1	287
TIGR00344	alaS: alanine--tRNA ligase	847
TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family	299
TIGR00346	azlC: azaleucine resistance protein AzlC	221
TIGR00347	bioD: dethiobiotin synthase	166
TIGR00348	hsdR: type I site-specific deoxyribonuclease, HsdR family	674
TIGR00350	lytR_cpsA_psr: cell envelope-related function transcriptional attenuator common domain	152
TIGR00351	narI: respiratory nitrate reductase, gamma subunit	225
TIGR00353	nrfE: cytochrome c-type biogenesis protein CcmF	578
TIGR00354	polC: DNA polymerase II, large subunit DP2	1096
TIGR00355	purH: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	511
TIGR00357	TIGR00357: methionine-R-sulfoxide reductase	134
TIGR00358	3_prime_RNase: VacB and RNase II family 3'-5' exoribonucleases	657
TIGR00359	cello_pts_IIC: PTS system, cellobiose-specific IIC component	424
TIGR00360	ComEC_N-term: ComEC/Rec2-related protein	171
TIGR00361	ComEC_Rec2: DNA internalization-related competence protein ComEC/Rec2	663
TIGR00362	DnaA: chromosomal replication initiator protein DnaA	437
TIGR00363	TIGR00363: lipoprotein, YaeC family	258
TIGR00364	TIGR00364: queuosine biosynthesis protein QueC	201
TIGR00365	TIGR00365: monothiol glutaredoxin, Grx4 family	99
TIGR00366	TIGR00366: TIGR00366 family protein	438
TIGR00367	TIGR00367: K+-dependent Na+/Ca+ exchanger homolog	312
TIGR00368	TIGR00368: Mg chelatase-like protein	499
TIGR00369	unchar_dom_1: uncharacterized domain 1	117
TIGR00370	TIGR00370: sensor histidine kinase inhibitor, KipI family	202
TIGR00372	cas4: CRISPR-associated protein Cas4	180
TIGR00373	TIGR00373: transcription factor E	162
TIGR00374	TIGR00374: TIGR00374 family protein	323
TIGR00375	TIGR00375: TIGR00375 family protein	374
TIGR00376	TIGR00376: putative DNA helicase	639
TIGR00377	ant_ant_sig: anti-anti-sigma factor	108
TIGR00378	cax: calcium/proton exchanger	349
TIGR00379	cobB: cobyrinic acid a,c-diamide synthase	449
TIGR00380	cobD: cobalamin biosynthesis protein CobD	305
TIGR00381	cdhD: CO dehydrogenase/acetyl-CoA synthase, delta subunit	389
TIGR00382	clpX: ATP-dependent Clp protease, ATP-binding subunit ClpX	414
TIGR00383	corA: magnesium and cobalt transport protein CorA	320
TIGR00384	dhsB: succinate dehydrogenase and fumarate reductase iron-sulfur protein	222
TIGR00385	dsbE: periplasmic protein thiol:disulfide oxidoreductases, DsbE subfamily	173
TIGR00387	glcD: glycolate oxidase, subunit GlcD	413
TIGR00388	glyQ: glycine--tRNA ligase, alpha subunit	293
TIGR00389	glyS_dimeric: glycine--tRNA ligase	565
TIGR00390	hslU: ATP-dependent protease HslVU, ATPase subunit	441
TIGR00391	hydA: hydrogenase (NiFe) small subunit (hydA)	365
TIGR00392	ileS: isoleucine--tRNA ligase	861
TIGR00393	kpsF: sugar isomerase, KpsF/GutQ family	268
TIGR00394	lac_pts_IIC: PTS system, lactose-specific IIC component	412
TIGR00395	leuS_arch: leucine--tRNA ligase	938
TIGR00396	leuS_bact: leucine--tRNA ligase	843
TIGR00397	mauM_napG: MauM/NapG family ferredoxin-type protein	213
TIGR00398	metG: methionine--tRNA ligase	530
TIGR00399	metG_C_term: methionine--tRNA ligase, beta subunit	139
TIGR00400	mgtE: magnesium transporter	450
TIGR00401	msrA: peptide-methionine (S)-S-oxide reductase	153
TIGR00402	napF: ferredoxin-type protein NapF	149
TIGR00403	ndhI: NADH-plastoquinone oxidoreductase, I subunit	183
TIGR00405	L26e_arch: ribosomal protein L24	145
TIGR00406	prmA: ribosomal protein L11 methyltransferase	288
TIGR00407	proA: glutamate-5-semialdehyde dehydrogenase	398
TIGR00408	proS_fam_I: proline--tRNA ligase	475
TIGR00409	proS_fam_II: proline--tRNA ligase	568
TIGR00410	lacE: PTS system, lactose/cellobiose family IIC component	424
TIGR00411	redox_disulf_1: redox-active disulfide protein 1	82
TIGR00412	redox_disulf_2: redox-active disulfide protein 2	78
TIGR00413	rlpA: rare lipoprotein A	208
TIGR00414	serS: serine--tRNA ligase	418
TIGR00415	serS_MJ: serine--tRNA ligase	518
TIGR00416	sms: DNA repair protein RadA	454
TIGR00417	speE: spermidine synthase	271
TIGR00418	thrS: threonine--tRNA ligase	565
TIGR00419	tim: triose-phosphate isomerase	228
TIGR00420	trmU: tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	351
TIGR00421	ubiX_pad: polyprenyl P-hydroxybenzoate and phenylacrylic acid decarboxylases	181
TIGR00422	valS: valine--tRNA ligase	863
TIGR00423	TIGR00423: radical SAM domain protein, CofH subfamily	310
TIGR00424	APS_reduc: 5'-adenylylsulfate reductase, thioredoxin-independent	464
TIGR00425	CBF5: putative rRNA pseudouridine synthase	322
TIGR00426	TIGR00426: competence protein ComEA helix-hairpin-helix repeat region	69
TIGR00427	TIGR00427: membrane protein, MarC family	201
TIGR00430	Q_tRNA_tgt: queuine tRNA-ribosyltransferase	368
TIGR00431	TruB: tRNA pseudouridine(55) synthase	210
TIGR00432	arcsn_tRNA_tgt: archaeosine tRNA-ribosyltransferase	637
TIGR00433	bioB: biotin synthase	296
TIGR00434	cysH: phosophoadenylyl-sulfate reductase	214
TIGR00435	cysS: cysteine--tRNA ligase	466
TIGR00436	era: GTP-binding protein Era	270
TIGR00437	feoB: ferrous iron transport protein B	594
TIGR00438	rrmJ: ribosomal RNA large subunit methyltransferase J	188
TIGR00439	ftsX: putative protein insertion permease FtsX	310
TIGR00440	glnS: glutamine--tRNA ligase	524
TIGR00441	gmhA: phosphoheptose isomerase	154
TIGR00442	hisS: histidine--tRNA ligase	406
TIGR00443	hisZ_biosyn_reg: ATP phosphoribosyltransferase, regulatory subunit	314
TIGR00444	mazG: MazG family protein	248
TIGR00445	mraY: phospho-N-acetylmuramoyl-pentapeptide-transferase	321
TIGR00446	nop2p: NOL1/NOP2/sun family putative RNA methylase	264
TIGR00447	pth: peptidyl-tRNA hydrolase	188
TIGR00448	rpoE: DNA-directed RNA polymerase	179
TIGR00449	tgt_general: tRNA-guanine family transglycosylase	367
TIGR00450	mnmE_trmE_thdF: tRNA modification GTPase TrmE	446
TIGR00451	unchar_dom_2: uncharacterized domain 2	107
TIGR00452	TIGR00452: tRNA (mo5U34)-methyltransferase	314
TIGR00453	ispD: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	219
TIGR00454	TIGR00454: TIGR00454 family protein	183
TIGR00455	apsK: adenylylsulfate kinase	184
TIGR00456	argS: arginine--tRNA ligase	569
TIGR00457	asnS: asparagine--tRNA ligase	455
TIGR00458	aspS_nondisc: aspartate--tRNA(Asn) ligase	428
TIGR00459	aspS_bact: aspartate--tRNA ligase	586
TIGR00460	fmt: methionyl-tRNA formyltransferase	315
