ensembl_gene_id	description	hgnc_symbol	hgnc_id	uniprotswissprot	chromosome_name	start_position	end_position	strand
ENSG00000003056	"mannose-6-phosphate receptor (cation dependent) [Source:HGNC Symbol;Acc:6752]"	M6PR	6752		12	9092959	9102551	-1
ENSG00000003096	"kelch-like family member 13 [Source:HGNC Symbol;Acc:22931]"	KLHL13	22931	Q9P2N7	X	117031776	117251303	-1
ENSG00000003137	"cytochrome P450, family 26, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:20581]"	CYP26B1	20581	Q9NR63	2	72356367	72375167	-1
ENSG00000003147	"islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]"	ICA1	5343	Q05084	7	8152814	8302317	-1
ENSG00000003249	"dysbindin (dystrobrevin binding protein 1) domain containing 1 [Source:HGNC Symbol;Acc:28455]"	DBNDD1	28455	Q9H9R9	16	90071273	90086536	-1
ENSG00000003393	"amyotrophic lateral sclerosis 2 (juvenile) [Source:HGNC Symbol;Acc:443]"	ALS2	443	Q96Q42	2	202565277	202645912	-1
ENSG00000003400	"caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]"	CASP10	1500	Q92851	2	202047604	202094129	1
ENSG00000003402	"CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]"	CFLAR	1876	O15519	2	201980827	202041410	1
ENSG00000003436	"tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]"	TFPI	11760	P10646	2	188328957	188430487	-1
ENSG00000003509	"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7 [Source:HGNC Symbol;Acc:28816]"	NDUFAF7	28816		2	37458774	37480546	1
ENSG00000003756	"RNA binding motif protein 5 [Source:HGNC Symbol;Acc:9902]"	RBM5	9902	P52756	3	50126341	50156454	1
ENSG00000003987	"myotubularin related protein 7 [Source:HGNC Symbol;Acc:7454]"	MTMR7	7454	Q9Y216	8	17155539	17271037	-1
ENSG00000003989	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:11060]"	SLC7A2	11060	P52569	8	17354597	17428082	1
ENSG00000004059	"ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:658]"	ARF5	658	P84085	7	127228399	127231759	1
ENSG00000004139	"sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:17074]"	SARM1	17074	NA	17	26691378	26728065	1
ENSG00000004142	"polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:23781]"	POLDIP2	23781	NA	17	26673659	26684545	-1
ENSG00000004399	"plexin D1 [Source:HGNC Symbol;Acc:9107]"	PLXND1	9107	Q9Y4D7	3	129274018	129325661	-1
ENSG00000004455	"adenylate kinase 2 [Source:HGNC Symbol;Acc:362]"	AK2	362	P54819	1	33473585	33546597	-1
ENSG00000004468	"CD38 molecule [Source:HGNC Symbol;Acc:1667]"	CD38	1667	P28907	4	15779898	15854853	1
ENSG00000004478	"FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]"	FKBP4	3720	Q02790	12	2904119	2914576	1
ENSG00000004487	"lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]"	KDM1A	29079	O60341	1	23345941	23410182	1
ENSG00000004534	"RNA binding motif protein 6 [Source:HGNC Symbol;Acc:9903]"	RBM6	9903	P78332	3	49977440	50137478	1
ENSG00000004660	"calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]"	CAMKK1	1469		17	3763609	3798185	-1
ENSG00000004700	"RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948]"	RECQL	9948	P46063	12	21621845	21654603	-1
ENSG00000004766	"coiled-coil domain containing 132 [Source:HGNC Symbol;Acc:25956]"	CCDC132	25956	Q96JG6	7	92861653	92988338	1
ENSG00000004776	"heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:26511]"	HSPB6	26511	O14558	19	36245469	36248980	-1
ENSG00000004777	"Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:23085]"	ARHGAP33	23085	O14559	19	36265434	36279724	1
ENSG00000004779	"NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:7694]"	NDUFAB1	7694	O14561	16	23592323	23607677	-1
ENSG00000004799	"pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:8812]"	PDK4	8812	Q16654	7	95212811	95225803	-1
ENSG00000004809	"solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]"	SLC22A16	20302		6	110745890	110797844	-1
ENSG00000004838	"zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:19412]"	ZMYND10	19412	O75800	3	50378541	50384283	-1
ENSG00000004846	"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]"	ABCB5	46	Q2M3G0	7	20654830	20816658	1
ENSG00000004848	"aristaless related homeobox [Source:HGNC Symbol;Acc:18060]"	ARX	18060	Q96QS3	X	25021811	25034065	-1
ENSG00000004864	"solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]"	SLC25A13	10983	Q9UJS0	7	95749532	95951459	-1
ENSG00000004866	"suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:11351]"	ST7	11351		7	116593292	116870157	1
ENSG00000004897	"cell division cycle 27 [Source:HGNC Symbol;Acc:1728]"	CDC27	1728	P30260	17	45195069	45266788	-1
ENSG00000004939	"solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:11027]"	SLC4A1	11027	P02730	17	42325753	42345509	-1
ENSG00000004948	"calcitonin receptor [Source:HGNC Symbol;Acc:1440]"	CALCR	1440		7	93053799	93204042	-1
ENSG00000004961	"holocytochrome c synthase [Source:HGNC Symbol;Acc:4837]"	HCCS	4837	P53701	X	11129421	11141198	1
ENSG00000004975	"dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:3086]"	DVL2	3086	O14641	17	7128660	7137864	-1
ENSG00000005001	"protease, serine, 22 [Source:HGNC Symbol;Acc:14368]"	PRSS22	14368	Q9GZN4	16	2902728	2908171	-1
ENSG00000005007	"UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]"	UPF1	9962	Q92900	19	18942747	18979045	1
ENSG00000005020	"src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:15687]"	SKAP2	15687	O75563	7	26706681	27034858	-1
ENSG00000005022	"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:10991]"	SLC25A5	10991	P05141	X	118602363	118605282	1
ENSG00000005059	"coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:26076]"	CCDC109B	26076	Q9NWR8	4	110481361	110609874	1
ENSG00000005073	"homeobox A11 [Source:HGNC Symbol;Acc:5101]"	HOXA11	5101		7	27221129	27224842	-1
ENSG00000005075	"polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:9197]"	POLR2J	9197	P52435	7	102113565	102119354	-1
ENSG00000005100	"DEAH (Asp-Glu-Ala-His) box polypeptide 33 [Source:HGNC Symbol;Acc:16718]"	DHX33	16718	Q9H6R0	17	5344232	5372380	-1
ENSG00000005102	"mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:7013]"	MEOX1	7013	P50221	17	41717756	41739322	-1
ENSG00000005108	"thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:22207]"	THSD7A	22207	Q9UPZ6	7	11409984	11871824	-1
ENSG00000005156	"ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6600]"	LIG3	6600	P49916	17	33307513	33332083	1
ENSG00000005175	"RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:26151]"	RPAP3	26151	Q9H6T3	12	48057070	48099844	-1
ENSG00000005187	"acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:10522]"	ACSM3	10522		16	20621565	20808903	1
ENSG00000005189	"Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]"	NA	NA		16	20817751	20860987	1
ENSG00000005194	"cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]"	CIAPIN1	28050	Q6FI81	16	57462081	57481440	-1
ENSG00000005206	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000005238	"family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:25666]"	FAM214B	25666	Q7L5A3	9	35104109	35116338	-1
ENSG00000005243	"coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:19356]"	COPZ2	19356		17	46103533	46115392	-1
ENSG00000005249	"protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]"	PRKAR2B	9392	P31323	7	106685094	106802256	1
ENSG00000005302	"male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]"	MSL3	7370	Q8N5Y2	X	11776278	11793870	1
ENSG00000005339	"CREB binding protein [Source:HGNC Symbol;Acc:2348]"	CREBBP	2348	Q92793	16	3775055	3930727	-1
ENSG00000005379	"benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:16831]"	BZRAP1	16831	O95153	17	56378592	56406152	-1
ENSG00000005381	"myeloperoxidase [Source:HGNC Symbol;Acc:7218]"	MPO	7218	P05164	17	56347217	56358296	-1
ENSG00000005421	"paraoxonase 1 [Source:HGNC Symbol;Acc:9204]"	PON1	9204	P27169	7	94926988	95025673	-1
ENSG00000005436	"GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:1317]"	GCFC2	1317		2	75879126	75938115	-1
ENSG00000005448	"WD repeat domain 54 [Source:HGNC Symbol;Acc:25770]"	WDR54	25770		2	74648805	74652882	1
ENSG00000005469	"carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:2366]"	CROT	2366	Q9UKG9	7	86974997	87029111	1
ENSG00000005471	"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]"	ABCB4	45		7	87031013	87109751	-1
ENSG00000005483	"lysine (K)-specific methyltransferase 2E [Source:HGNC Symbol;Acc:18541]"	KMT2E	18541	Q8IZD2	7	104654626	104754808	1
ENSG00000005486	"rhomboid domain containing 2 [Source:HGNC Symbol;Acc:23082]"	RHBDD2	23082	Q6NTF9	7	75471920	75518244	1
ENSG00000005513	"SRY (sex determining region Y)-box 8 [Source:HGNC Symbol;Acc:11203]"	SOX8	11203	P57073	16	1031808	1036979	1
ENSG00000005700	"inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:17853]"	IBTK	17853	Q9P2D0	6	82879700	82957471	-1
ENSG00000005801	"zinc finger protein 195 [Source:HGNC Symbol;Acc:12986]"	ZNF195	12986		11	3360491	3400448	-1
ENSG00000005810	"MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:23386]"	MYCBP2	23386	O75592	13	77618792	77901185	-1
ENSG00000005812	"F-box and leucine-rich repeat protein 3 [Source:HGNC Symbol;Acc:13599]"	FBXL3	13599	Q9UKT7	13	77566740	77601330	-1
ENSG00000005844	"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]"	ITGAL	6148	P20701	16	30483979	30534506	1
ENSG00000005882	"pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:8810]"	PDK2	8810	Q15119	17	48172101	48189516	1
ENSG00000005884	"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:6139]"	ITGA3	6139		17	48133332	48167845	1
ENSG00000005889	"zinc finger protein, X-linked [Source:HGNC Symbol;Acc:12869]"	ZFX	12869		X	24167290	24234372	1
ENSG00000005893	"lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:6501]"	LAMP2	6501	P13473	X	119561682	119603220	-1
ENSG00000005961	"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]"	ITGA2B	6138		17	42449548	42466873	-1
ENSG00000005981	"ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:16009]"	ASB4	16009	Q9Y574	7	95107756	95169544	1
ENSG00000006007	"glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]"	GDE1	29644	Q9NZC3	16	19513015	19533467	-1
ENSG00000006015	"chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:26098]"	C19orf60	26098	Q96EN9	19	18699495	18703146	1
ENSG00000006016	"cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:2364]"	CRLF1	2364	O75462	19	18683030	18718551	-1
ENSG00000006025	"oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:16387]"	OSBPL7	16387	Q9BZF2	17	45884738	45899200	-1
ENSG00000006042	"transmembrane protein 98 [Source:HGNC Symbol;Acc:24529]"	TMEM98	24529	Q9Y2Y6	17	31254928	31272124	1
ENSG00000006047	"Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]"	YBX2	17948	Q9Y2T7	17	7191571	7197934	-1
ENSG00000006059	"keratin 33A [Source:HGNC Symbol;Acc:6450]"	KRT33A	6450	O76009	17	39502344	39507064	-1
ENSG00000006062	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006071	"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]"	ABCC8	59		11	17414432	17498449	-1
ENSG00000006116	"calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:1407]"	CACNG3	1407	O60359	16	24266874	24374122	1
ENSG00000006118	"transmembrane protein 132A [Source:HGNC Symbol;Acc:31092]"	TMEM132A	31092		11	60691935	60704631	1
ENSG00000006125	"adaptor-related protein complex 2, beta 1 subunit [Source:HGNC Symbol;Acc:563]"	AP2B1	563		17	33905065	34053436	1
ENSG00000006128	"tachykinin, precursor 1 [Source:HGNC Symbol;Acc:11517]"	TAC1	11517	P20366	7	97361220	97369784	1
ENSG00000006194	"zinc finger protein 263 [Source:HGNC Symbol;Acc:13056]"	ZNF263	13056		16	3313743	3351401	1
ENSG00000006210	"chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]"	CX3CL1	10647	P78423	16	57406370	57418960	1
ENSG00000006282	"spermatogenesis associated 20 [Source:HGNC Symbol;Acc:26125]"	SPATA20	26125		17	48620419	48633213	1
ENSG00000006283	"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]"	CACNA1G	1394	O43497	17	48638429	48704835	1
ENSG00000006327	"tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]"	TNFRSF12A	18152		16	3068446	3072384	1
ENSG00000006377	"distal-less homeobox 6 [Source:HGNC Symbol;Acc:2919]"	DLX6	2919	P56179	7	96634860	96640351	1
ENSG00000006432	"mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861]"	MAP3K9	6861	P80192	14	71189243	71276251	-1
ENSG00000006451	"v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:9839]"	RALA	9839	P11233	7	39663082	39747723	1
ENSG00000006453	"BAI1-associated protein 2-like 1 [Source:HGNC Symbol;Acc:21649]"	BAIAP2L1	21649	Q9UHR4	7	97920963	98030380	-1
ENSG00000006459	"lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:22224]"	KDM7A	22224	Q6ZMT4	7	139784546	139876835	-1
ENSG00000006468	"ets variant 1 [Source:HGNC Symbol;Acc:3490]"	ETV1	3490	P50549	7	13930853	14031050	-1
ENSG00000006530	"acylglycerol kinase [Source:HGNC Symbol;Acc:21869]"	AGK	21869	Q53H12	7	141250989	141355044	1
ENSG00000006534	"aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:410]"	ALDH3B1	410		11	67776048	67796744	1
ENSG00000006555	"tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:26067]"	TTC22	26067	Q5TAA0	1	55245385	55266940	-1
ENSG00000006576	"putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:13411]"	PHTF2	13411	Q8N3S3	7	77428122	77586818	1
ENSG00000006606	"chemokine (C-C motif) ligand 26 [Source:HGNC Symbol;Acc:10625]"	CCL26	10625	Q9Y258	7	75398851	75419214	-1
ENSG00000006607	"FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:16460]"	FARP2	16460	O94887	2	242295658	242434256	1
ENSG00000006611	"Usher syndrome 1C (autosomal recessive, severe) [Source:HGNC Symbol;Acc:12597]"	USH1C	12597	Q9Y6N9	11	17515442	17565963	-1
ENSG00000006625	"gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:21705]"	GGCT	21705		7	30536237	30591095	-1
ENSG00000006634	"DBF4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:17364]"	DBF4	17364	Q9UBU7	7	87505531	87538856	1
ENSG00000006638	"thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608]"	TBXA2R	11608	P21731	19	3594504	3606838	-1
ENSG00000006652	"interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:5456]"	IFRD1	5456		7	112063023	112121072	1
ENSG00000006659	"lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:30054]"	LGALS14	30054	Q8TCE9	19	40194946	40200084	1
ENSG00000006695	"cytochrome c oxidase assembly homolog 10 (yeast) [Source:HGNC Symbol;Acc:2260]"	COX10	2260		17	13972813	14111994	1
ENSG00000006704	"GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:4661]"	GTF2IRD1	4661	Q9UHL9	7	73868120	74016931	1
ENSG00000006712	"Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25459]"	PAF1	25459	Q8N7H5	19	39876492	39881835	-1
ENSG00000006715	"vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:12713]"	VPS41	12713	P49754	7	38762563	38971994	-1
ENSG00000006740	"Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]"	ARHGAP44	29096	Q17R89	17	12692856	12894960	1
ENSG00000006744	"elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:14198]"	ELAC2	14198	Q9BQ52	17	12895708	12921504	-1
ENSG00000006747	"scinderin [Source:HGNC Symbol;Acc:21695]"	SCIN	21695	Q9Y6U3	7	12610203	12693228	1
ENSG00000006756	"arylsulfatase D [Source:HGNC Symbol;Acc:717]"	ARSD	717	P51689	X	2822011	2847392	-1
ENSG00000006757	"patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:24887]"	PNPLA4	24887	P41247	X	7866288	7895780	-1
ENSG00000006788	"myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:7571]"	MYH13	7571	Q9UKX3	17	10201401	10276447	-1
ENSG00000006831	"adiponectin receptor 2 [Source:HGNC Symbol;Acc:24041]"	ADIPOR2	24041	Q86V24	12	1797740	1897844	1
ENSG00000006837	"cyclin-dependent kinase-like 3 [Source:HGNC Symbol;Acc:15483]"	CDKL3	15483		5	133541305	133706738	-1
ENSG00000007001	"uridine phosphorylase 2 [Source:HGNC Symbol;Acc:23061]"	UPP2	23061	O95045	2	158733214	158992666	1
ENSG00000007038	"protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:9485]"	PRSS21	9485	Q9Y6M0	16	2867164	2876305	1
ENSG00000007047	"MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]"	MARK4	13538		19	45582546	45808541	1
ENSG00000007062	"prominin 1 [Source:HGNC Symbol;Acc:9454]"	PROM1	9454		4	15964699	16086001	-1
ENSG00000007080	"coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:25171]"	CCDC124	25171	Q96CT7	19	18043825	18054800	1
ENSG00000007129	"carcinoembryonic antigen-related cell adhesion molecule 21 [Source:HGNC Symbol;Acc:28834]"	CEACAM21	28834		19	42055886	42093197	1
ENSG00000007168	"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:8574]"	PAFAH1B1	8574		17	2496504	2588909	1
ENSG00000007171	"nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]"	NOS2	7873	P35228	17	26083792	26127525	-1
ENSG00000007174	"dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:2953]"	DNAH9	2953	Q9NYC9	17	11501748	11873065	1
ENSG00000007202	"KIAA0100 [Source:HGNC Symbol;Acc:28960]"	KIAA0100	28960	Q14667	17	26941458	26972472	-1
ENSG00000007216	"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]"	SLC13A2	10917		17	26800311	26824799	1
ENSG00000007237	"growth arrest-specific 7 [Source:HGNC Symbol;Acc:4169]"	GAS7	4169	O60861	17	9813926	10101868	-1
ENSG00000007255	"trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:23069]"	TRAPPC6A	23069	O75865	19	45666186	45681495	-1
ENSG00000007264	"megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906]"	MATK	6906	P42679	19	3777971	3802127	-1
ENSG00000007306	"carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]"	CEACAM7	1819	Q14002	19	42177235	42210895	-1
ENSG00000007312	"CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]"	CD79B	1699	P40259	17	62006100	62009714	-1
ENSG00000007314	"sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]"	SCN4A	10591		17	62015914	62050278	-1
ENSG00000007341	"suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:18441]"	ST7L	18441	Q8TDW4	1	113066140	113163447	-1
ENSG00000007350	"transketolase-like 1 [Source:HGNC Symbol;Acc:11835]"	TKTL1	11835	P51854	X	153524024	153558700	1
ENSG00000007372	"paired box 6 [Source:HGNC Symbol;Acc:8620]"	PAX6	8620	P26367	11	31806340	31839509	-1
ENSG00000007376	"RNA pseudouridylate synthase domain containing 1 [Source:HGNC Symbol;Acc:14173]"	RPUSD1	14173	Q9UJJ7	16	834974	838397	-1
ENSG00000007384	"rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:20561]"	RHBDF1	20561	Q96CC6	16	108058	126354	-1
